Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active
IDSM,Ideal Spinning Mills Limited,830,TEXTILE SPINNING,500,1
IDYM,Indus Dyeing & Manufacturing Co. Limited,830,TEXTILE SPINNING,1,1
IGIHL,IGI Holdings Limited,812,INSURANCE,1,1
IGIL,IGI Life Insurance Limited,812,INSURANCE,500,1
ILP,Interloop Limited,829,TEXTILE COMPOSITE,1,1
IMAGE,Image Pakistan Limited,827,SYNTHETIC & RAYON,500,1
IML,Imperial  Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
INDU,Indus Motor Company Limited,801,AUTOMOBILE ASSEMBLER,1,1
INIL,International Industries Limited,808,ENGINEERING,1,1
INKL,International Knitwear Limited,829,TEXTILE COMPOSITE,500,1
INMF,Investec Mutual Fund Limited,806,CLOSE - END MUTUAL FUND,500,0
ISIL,Ismail Industries Limited,810,FOOD & PERSONAL CARE PRODUCTS,1,1
ISL,International Steels Limited,808,ENGINEERING,1,1
ITTEFAQ,Ittefaq Iron Industries Limited,808,ENGINEERING,500,1
JATM,J.A. Textile Mills Limited,830,TEXTILE SPINNING,500,1
JDMT,Janana De Malucho Textile Mills Limited,830,TEXTILE SPINNING,500,1
JDWS,JDW Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,1,1
JGICL,Jubilee General Insurance Limited,812,INSURANCE,500,1
JKSM,J.K. Spinning Mills Limited,830,TEXTILE SPINNING,500,1
JLICL,Jubilee Life Insurance Company Limited,812,INSURANCE,1,1
JSBL,JS Bank Limited,807,COMMERCIAL BANKS,500,1
JSCL,Jahangir Siddiqui & Co. Ltd.,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
JSCLPSA,Jahangir Sidd(Pref),813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
JSGBETF,JS Global Banking Sector(ETF),837,EXCHANGE TRADED FUNDS,500,1
JSGCL,JS Global Capital Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,1,1
JSIL,JS Investments Limited,813,INV. BANKS / INV. COS. / SECURITIES COS.,500,1
JSMFETF,JS Momentum Factor Exchange Traded Fund,837,EXCHANGE TRADED FUNDS,500,1
JSML,Jauharabad Sugar Mills Limited,826,SUGAR & ALLIED INDUSTRIES,500,1
JUBS,Jubilee Spinning & Weaving Mills Ltd.,829,TEXTILE COMPOSITE,500,1
JVDC,Javedan Corporation Limited,838,PROPERTY,500,1
JVDCPS,Javedan Corporation (Pref),804,CEMENT,500,1
KAKL,Kaiser Arts & Krafts Limited,829,TEXTILE COMPOSITE,500,1
KAPCO,Kot Addu Power Company Limited,824,POWER GENERATION & DISTRIBUTION,1,1
KCL,Karam Ceramics Limited,811,GLASS & CERAMICS,500,1
KEL,K-Electric Limited,824,POWER GENERATION & DISTRIBUTION,1,1
KHTC,Khyber Tobacco Company Limited,832,TOBACCO,1,1
KHYT,Khyber Textile Mills Limited,829,TEXTILE COMPOSITE,1,1
KML,Kohinoor Mills Limited,829,TEXTILE COMPOSITE,500,1
KOHC,Kohat Cement Company Limited,804,CEMENT,1,1
KOHE,Kohinoor Energy Limited,824,POWER GENERATION & DISTRIBUTION,500,1
KOHP,Kohinoor Power Company Limited,824,POWER GENERATION & DISTRIBUTION,500,1
KOHTM,Kohat Textile Mills Limited,830,TEXTILE SPINNING,500,1
KOIL,Kohinoor Industries Limited,829,TEXTILE COMPOSITE,500,1
