,Symbol,Company Name,Industry Code,Industry Name,Lot Size,Active,Year End,IDX WT %,FF BASED SHARES,ORD SHARES
130,DMTX,D.M. Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.0010630131286850613,915729,3052400
131,DNCC,Dandot Cement Company Limited,804.0,CEMENT,500.0,1.0,6.0,0.028363792421713177,94906540,316355132
132,DOL,Descon Oxychem Limited,805.0,CHEMICAL,500.0,1.0,6.0,0.03276153774943702,52509325,175031084
133,DSFL,Dewan Salman Fibre Limited,827.0,SYNTHETIC & RAYON,500.0,1.0,6.0,0.00245977926730244,146528433,366321085
134,DSIL,D.S. Industries Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.003780281574506061,66948505,83685631
135,DSL,Dost Steels Limited,808.0,ENGINEERING,500.0,1.0,6.0,0.023481208888578443,333521683,444695577
136,DSML,,,,,,,0.0826542540350547,11225000,224500000
137,DWAE,Dewan Automotive Engineering Limited,802.0,AUTOMOBILE PARTS & ACCESSORIES,500.0,1.0,6.0,0.006613332284494678,3210000,21400000
138,DWSM,Dewan Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.0045388195133588575,18302398,91511992
139,DWTM,Dewan Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.0024147694560319216,2303230,46064609
140,DYNO,Dynea Pakistan Limited,805.0,CHEMICAL,1.0,1.0,6.0,0.03262009589671152,12267068,18872400
141,ECOP,Ecopack Limited,818.0,MISCELLANEOUS,500.0,1.0,6.0,0.008775031413003093,38606734,48258419
142,EFERT,Engro Fertilizers Limited,809.0,FERTILIZER,1.0,1.0,12.0,2.0541978153468556,600884719,1335299375
143,EFUG,EFU General Insurance Limited,812.0,INSURANCE,500.0,1.0,12.0,0.20945652614443167,50000000,200000000
144,EFUL,EFU Life Assurance Limited,812.0,INSURANCE,1.0,1.0,12.0,0.14024201767991762,10500000,105000000
145,ELCM,Elahi Cotton Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.000845647340982027,260000,1300000
146,ELSM,Ellcot Spinning Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,6.0,0.007937601141047178,3285000,10950000
147,EMCO,Emco Industries Limited,803.0,CABLE & ELECTRICAL GOODS,500.0,1.0,6.0,0.008546050175337737,10500000,34999667
148,ENGL,,,,,,,3.9678467612059915e-05,2400000,8000000
149,ENGRO,Engro Corporation Limited,809.0,FERTILIZER,1.0,1.0,12.0,1.4662763518241273,268313234,536626468
150,EPCL,Engro Polymer & Chemicals Limited,805.0,CHEMICAL,1.0,1.0,12.0,0.2576544324759859,227230833,908923333
151,EPCLPS,,,,,,,0.025203457408198824,300000000,300000000
152,EPQL,Engro Powergen Qadirpur Limited,824.0,POWER GENERATION & DISTRIBUTION,500.0,1.0,12.0,0.06722904372805381,97140000,323800000
153,ESBL,Escorts Investment Bank Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.0072428464341090905,20340000,135600000
154,EWIC,,,,,,,0.06113779493695675,60682529,222502606
155,EXIDE,Exide Pakistan Limited,802.0,AUTOMOBILE PARTS & ACCESSORIES,1.0,1.0,3.0,0.049991712495315525,1942155,7768618
156,FABL,Faysal Bank Limited,807.0,COMMERCIAL BANKS,1.0,1.0,12.0,0.5584235095436713,379424131,1517696526
157,FAEL,,,,,,,0.0015528267496148678,6403950,14231000
158,FANM,First Al-Noor Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0005816710742437167,12705000,23100000
159,FASM,Faisal Spinning Mills Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.01768896608043794,1000000,10000000
160,FATIMA,Fatima Fertilizer Company Limited,809.0,FERTILIZER,1.0,1.0,12.0,1.1614192689031568,315000000,2100000000
161,FCCL,Fauji Cement Company Limited,804.0,CEMENT,1.0,1.0,6.0,0.721329603719027,858496527,2452847220
162,FCEL,First Capital Equities Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.006794278687088664,42400650,141335500
163,FCEPL,Frieslandcampina Engro Pakistan Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,1.0,1.0,12.0,0.4904798902263935,76659608,766596075
164,FCIBL,First Credit and Investment Bank Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.003952967335851469,26000000,65000000
165,FCL,,,,,,,0.11041243659233589,157213500,628854000
166,FCONM,,,,,,,5.868121064655678e-05,2261875,6462500
167,FCSC,First Capital Securities Corporation,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.005773966158248187,174135562,316610115
168,FDPL,First Dawood Properties Limited,813.0,INV. BANKS / INV. COS. / SECURITIES COS.,500.0,1.0,6.0,0.0029552672237052363,133551021,148390023
169,FECM,First Elite Capital Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0005589810951492512,7938000,11340000
170,FECTC,Fecto Cement Limited,804.0,CEMENT,500.0,1.0,6.0,0.032762938013852154,12540000,50160000
171,FEM,First Equity Modaraba,819.0,MODARABAS,500.0,1.0,9.0,0.0011604120462637736,36708000,52440000
172,FEROZ,Ferozsons Laboratories Limited,823.0,PHARMACEUTICALS,1.0,1.0,6.0,0.12043976961273266,17387621,43469051
173,FFBL,Fauji Fertilizer Bin Qasim Limited,809.0,FERTILIZER,1.0,1.0,12.0,0.7630064116332276,451938500,1291252857
174,FFC,Fauji Fertilizer Company Limited,809.0,FERTILIZER,1.0,1.0,12.0,3.2277400350312107,699731036,1272238147
175,FFL,Fauji Foods Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,1.0,1.0,12.0,0.261892368523015,503992628,2519963139
176,FFLM,First Fidelity Leasing Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0004555026812206105,17168973,26413804
177,FHAM,,,,,,,0.0150025283344221,99747450,110830500
178,FIBLM,First IBL Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0005543778206206616,16265625,21687500
179,FIL,Fateh Industries Limited,816.0,LEATHER & TANNERIES,1.0,0.0,6.0,0.002044051519984348,48581,2000000
180,FIM,,,,,,,4.5782847244684515e-06,1350000,3000000
181,FIMM,First Imrooz Modaraba,819.0,MODARABAS,1.0,1.0,6.0,0.004938824646520342,600000,3000000
182,FLYNG,Flying Cement Company Limited,804.0,CEMENT,500.0,1.0,6.0,0.15141522998428839,277920000,694800000
183,FML,Feroze1888 Mills Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.21126520562268192,39940903,399409026
184,FNBM,,,,,,,0.00012208759265249205,17500000,25000000
185,FNEL,,,,,,,0.008198876606052672,187100432,267286331
186,FPJM,First Punjab Modaraba,819.0,MODARABAS,500.0,1.0,12.0,0.0009708619021013309,13608000,34020000
187,FPRM,,,,,,,0.0008816780056056688,6204787,13788418
188,FRCL,Frontier Ceramics Limited,811.0,GLASS & CERAMICS,500.0,1.0,6.0,0.004814660480197106,1893691,37873821
189,FRSM,Faran Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.008987453807923413,6251739,25007151
190,FSWL,Fateh Sports Wear Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.0017087684686624418,88570,2000000
191,FTHM,,,,,,,0.0007058188950222196,875000,1250000
192,FTMM,First Treet Manufacturing Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0344527093980111,44179514,883590287
193,FTSM,First Tri-Star Modaraba,819.0,MODARABAS,500.0,1.0,6.0,0.0022301013078701143,8465242,21163104
194,FZCM,Fazal Cloth Mills Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.03319256425239627,3000000,30000000
195,GADT,Gadoon Textile Mills Limited,830.0,TEXTILE SPINNING,1.0,1.0,6.0,0.045158416170938236,8408875,28029583
196,GAL,Ghandhara Automobiles Limited,801.0,AUTOMOBILE ASSEMBLER,1.0,1.0,3.0,0.1088825667739673,22801000,57002500
197,GAMON,Gammon Pakistan Limited,818.0,MISCELLANEOUS,500.0,1.0,6.0,0.012727557452110426,3648076,28266231
198,GATI,Gatron (Industries) Limited,827.0,SYNTHETIC & RAYON,1.0,1.0,6.0,0.14518937319697453,10872896,108728960
199,GATM,Gul Ahmed Textile Mills Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.1342857754027468,185014865,740059458
200,GCIL,Ghani Chemical Industries Limited,805.0,CHEMICAL,500.0,1.0,6.0,0.05599057205395853,125046993,500187971
201,GEMBCEM,,,,,,,0.007248950813741715,25000000,100000000
202,GEMBLUEX,,,,,,,0.011058985940965738,10971372,27428430
203,GEMMEL,,,,,,,0.03184363767378997,19410319,194103187
204,GEMPAPL,Pak Agro Packaging Limited(GEM),822.0,"PAPER, BOARD & PACKAGING",500.0,1.0,6.0,0.0012590282992288242,8000000,20000000
205,GEMSPNL,Supernet Limited,828.0,TECHNOLOGY & COMMUNICATION,500.0,1.0,6.0,0.013480100113534286,24688891,135788901
206,GFIL,Ghazi Fabrics International Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,6.0,0.002365738591769491,3263560,32635600
207,GGGL,Ghani Global Glass Limited,811.0,GLASS & CERAMICS,500.0,1.0,6.0,0.012727631534022295,120000000,240000000
208,GGL,Ghani Global Holdings Limited,805.0,CHEMICAL,1.0,1.0,6.0,0.03212797513389308,177059795,354119590
209,GHGL,Ghani Glass Limited,811.0,GLASS & CERAMICS,500.0,1.0,6.0,0.21290581446744714,349900193,999714838
210,GHNI,Ghandhara Industries Limited,801.0,AUTOMOBILE ASSEMBLER,1.0,1.0,6.0,0.13063225474348333,14913095,42608844
211,GIL,Good Luck Industries Ltd.,810.0,FOOD & PERSONAL CARE PRODUCTS,1.0,0.0,6.0,0.002394900739369447,116,300000
212,GLAXO,GlaxoSmithKline Pakistan Limited,823.0,PHARMACEUTICALS,500.0,1.0,12.0,0.9087196120393366,63693456,318467278
213,GLOT,,,,,,,0.0010865310409738625,7365188,16367085
214,GLPL,Gillette Pakistan Limited,810.0,FOOD & PERSONAL CARE PRODUCTS,1.0,1.0,6.0,0.03841806460653782,3187200,31872000
215,GOC,GOC (Pak) Limited.,818.0,MISCELLANEOUS,500.0,1.0,6.0,0.003302874979124125,1102401,7348950
216,GRR,Globe Residency REIT,836.0,REAL ESTATE INVESTMENT TRUST,500.0,1.0,6.0,0.01479549013457388,42000000,140000000
217,GRYL,Grays Leasing Limited,815.0,LEASING COMPANIES,500.0,1.0,6.0,0.0008038704928712523,2150000,21500000
218,GSPM,Gulshan Spinning Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,3.0,0.0007648400156872504,20632740,22225038
219,GTYR,,,,,,,0.04128226165472622,48773340,121933350
220,GUSM,Gulistan Spinning Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,3.0,0.0010657875997499874,11712800,14641000
221,GUTM,Gulistan Textile Mills Limited,830.0,TEXTILE SPINNING,500.0,1.0,3.0,0.002172839279721609,5695170,18983872
222,GVGL,Ghani Value Glass Limited,811.0,GLASS & CERAMICS,500.0,1.0,6.0,0.04919758878818328,29376188,149942178
223,GWLC,Gharibwal Cement Limited,804.0,CEMENT,500.0,1.0,6.0,0.12458409185098256,40027396,400273960
224,HABSM,Habib Sugar Mills Limited,826.0,SUGAR & ALLIED INDUSTRIES,500.0,1.0,9.0,0.07785602088194825,40500000,135000000
225,HADC,,,,,,,0.0008062664618770575,5882415,6400000
226,HAEL,Hala Enterprises Limited,829.0,TEXTILE COMPOSITE,500.0,1.0,3.0,0.0016551133658293633,1599557,12996304
227,HAFL,Hafiz Limited,829.0,TEXTILE COMPOSITE,1.0,1.0,6.0,0.0025987259753027826,40448,1200000
228,HAJT,,,,,,,7.554169795372945e-05,1987705,13750000
229,HALEON,Haleon Pakistan Limited,823.0,PHARMACEUTICALS,1.0,1.0,9.0,0.7591059767422248,15700898,117054508
230,HASCOL,Hascol Petroleum Limited,821.0,OIL & GAS MARKETING COMPANIES,500.0,1.0,12.0,0.10284458866163289,599472408,999120680
231,HATM,Hamid Textile Mills Limited,829.0,TEXTILE COMPOSITE,500.0,0.0,6.0,9.823054773796306e-05,5972220,13271600
