"CLIENT TYPE","SEC CODE","SECTOR NAME","MARKET TYPE","BUY VOLUME","BUY VALUE","SELL VOLUME","SELL VALUE","NET VOLUME","NET VALUE","USD"
"COMPANIES","S0023","Power Generation and Distribution","REG","1,336,335","7,642,877","(130,645)","(12,821,036)","1,205,690","(5,178,158)","(18,427)"
"COMPANIES","S0026","Commercial Banks","REG","3,415,700","52,066,733","(185,507)","(10,368,798)","3,230,193","41,697,934","148,391"
"COMPANIES","S0028","Technology and Communication","REG","12,160","832,166","(146,300)","(11,645,508)","(134,140)","(10,813,341)","(38,481)"
"COMPANIES","S0029","Textile Composite","REG","21,600","1,851,539","(34,214)","(411,060)","(12,614)","1,440,479","5,126"
"COMPANIES","S1111","All other Sectors","REG","1,382,356","72,699,782","(1,293,978)","(34,757,385)","88,378","37,942,397","135,026"
"","","","TOTAL","7,014,286","189,479,745","(8,423,488)","(184,426,824)","(1,409,202)","5,052,922","17,982"
"INDIVIDUALS","S0036","Debt Market","BNB","263","1,119,122","(206)","(876,530)","57","242,592","863"
"INDIVIDUALS","S0005","Cement","FUT","2,287,500","160,792,775","(2,437,500)","(160,881,390)","(150,000)","(88,615)","(315)"
"INDIVIDUALS","S0007","Fertilizer","FUT","1,017,000","77,399,245","(979,500)","(89,660,600)","37,500","(12,261,355)","(43,634)"
"INDIVIDUALS","S0008","Food and Personal Care Products","FUT","5,847,000","87,092,210","(6,832,500)","(99,421,365)","(985,500)","(12,329,155)","(43,875)"
"INDIVIDUALS","S0019","Oil and Gas Exploration Companies","FUT","4,143,000","523,152,325","(3,780,500)","(477,444,765)","362,500","45,707,560","162,660"
"INDIVIDUALS","S0020","Oil and Gas Marketing Companies","FUT","2,718,000","273,600,290","(2,513,500)","(258,972,185)","204,500","14,628,105","52,057"
"INDIVIDUALS","S0023","Power Generation and Distribution","FUT","17,427,000","116,696,165","(21,750,000)","(146,148,340)","(4,323,000)","(29,452,175)","(104,812)"
"INDIVIDUALS","S0026","Commercial Banks","FUT","3,237,500","29,589,595","(2,857,500)","(32,422,490)","380,000","(2,832,895)","(10,081)"
"INDIVIDUALS","S0028","Technology and Communication","FUT","11,618,500","532,444,255","(13,034,500)","(546,837,095)","(1,416,000)","(14,392,840)","(51,220)"
"INDIVIDUALS","S0029","Textile Composite","FUT","92,500","2,447,790","(109,000)","(3,307,210)","(16,500)","(859,420)","(3,058)"
